question,question_choice,gender_all,Male,Female,age_all,18-24,25-34,35-44,45-54,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Strongly disagree,112,66,46,112,13,24,24,10,22,19,112,8,11,18,5,15,9,5,13,6,5,7,10,112,3,,4,1,12,7,,1,1,12,2,,1,3,7,2,,4,2,,1,2,2,2,,1,,1,1,1,*,1,10,2,,3,,1,3,2,1,,2,10,1,,3,1,,2,,112,19,21,44,28,112,11,4,7,6,8,4,3,3,8,3,5,3,4,7,9,3,6,5,13,112,36,42,34,106,29,33,44,112,49,23,40,112,15,97
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Tend to disagree,215,111,104,215,28,46,44,27,41,30,215,18,21,29,14,18,11,10,25,15,12,23,18,215,5,,5,,30,5,1,1,1,21,5,,2,3,3,1,,1,4,,2,4,9,8,*,7,3,2,1,,5,2,15,4,1,7,3,4,4,,3,,3,13,4,,13,4,,6,,215,30,46,78,60,215,11,7,11,6,8,6,15,9,10,11,10,9,12,16,7,24,7,11,23,215,60,85,69,212,59,54,99,215,76,58,81,215,28,186
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Neither agree nor disagree,542,242,301,542,73,124,114,83,86,62,542,38,50,55,37,39,22,35,74,59,45,48,39,542,9,1,11,5,62,10,4,1,3,30,11,,3,23,13,5,7,9,5,3,12,15,19,8,2,6,6,2,11,3,18,2,48,11,,17,4,3,35,4,8,1,9,38,6,2,12,14,2,6,2,542,132,107,171,133,542,40,23,26,27,34,37,33,24,22,19,20,12,13,30,27,32,20,22,81,542,70,164,308,460,118,156,186,542,124,79,340,542,39,503
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Tend to agree,931,466,465,931,110,169,162,119,207,162,931,58,74,80,69,100,85,52,95,83,51,107,77,931,20,5,33,5,103,25,8,2,6,66,31,,7,43,19,10,10,23,6,3,19,11,24,12,9,20,4,4,11,5,22,5,48,23,2,46,8,17,37,1,13,1,19,75,3,,21,14,4,26,1,931,134,218,350,229,931,20,24,43,44,54,56,30,37,30,42,75,25,54,51,68,83,43,32,121,931,249,345,337,893,263,243,387,931,295,234,402,931,140,791
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Strongly agree,599,307,292,599,50,84,97,95,137,136,599,25,43,56,54,71,58,25,41,41,41,66,78,599,9,2,15,8,58,10,9,2,5,48,17,2,6,19,8,8,3,13,6,2,7,9,16,6,3,14,2,*,4,4,13,3,40,18,,21,5,8,47,3,9,2,10,52,6,2,18,11,5,13,1,599,128,110,234,126,599,23,17,23,38,31,28,29,33,23,22,29,21,29,33,53,51,34,23,59,599,209,206,184,567,158,182,227,599,227,135,237,599,117,482
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Agree,1530,774,756,1530,160,254,260,214,344,298,1530,83,117,136,123,171,143,77,136,124,91,173,155,1530,29,7,48,13,161,35,17,4,11,114,49,2,14,62,27,18,13,36,12,5,26,20,40,18,12,34,5,5,15,8,35,8,87,41,2,67,13,25,84,4,22,3,30,127,9,2,39,25,9,39,2,1530,262,328,585,355,1530,43,41,66,81,85,84,59,69,53,64,104,45,82,84,121,135,77,55,180,1530,459,551,521,1461,421,425,614,1530,522,370,638,1530,257,1273
"Agree with statement: Thinking about online news, I am concerned about what is real and what is fake on the internet.",Disagree,326,176,150,326,41,69,68,36,63,49,326,26,32,47,19,33,20,15,38,22,18,29,29,326,7,,9,1,42,12,1,2,2,33,6,,3,6,10,2,,5,5,,3,6,11,10,*,7,3,2,2,1,6,3,25,6,1,10,3,5,8,2,4,,5,23,5,,16,5,,8,,326,49,67,122,89,326,23,11,19,13,16,9,17,12,17,14,16,12,16,23,16,27,13,16,37,326,96,126,104,318,88,87,143,326,124,81,121,326,43,283
Agree with statement: Technology companies (e.g. Facebook and Google) should do more to make it easier to separate what is real and what is fake on the internet,Strongly disagree,174,97,77,174,18,48,33,27,27,20,174,7,26,21,19,17,7,11,22,12,8,11,13,174,6,1,4,4,17,8,,,,11,3,,,12,6,2,,4,5,,3,4,6,4,,3,2,1,1,1,1,1,10,4,,5,1,1,12,2,2,,2,12,2,,5,2,1,5,,174,30,42,63,39,174,13,7,6,2,8,11,3,11,7,3,7,4,12,11,10,14,6,10,28,174,50,56,68,163,40,48,75,174,65,47,62,174,35,139
Agree with statement: Technology companies (e.g. Facebook and Google) should do more to make it easier to separate what is real and what is fake on the internet,Tend to disagree,151,87,64,151,37,28,28,17,28,13,151,23,14,16,14,15,6,14,14,12,3,13,7,151,1,,7,1,33,4,,,,8,3,,1,3,5,2,,2,2,,5,1,5,,1,2,2,1,1,,3,2,6,1,,9,1,3,6,1,1,,,12,1,,10,2,,5,,151,16,32,48,56,151,12,5,9,10,7,9,6,7,9,5,3,2,3,7,13,15,6,1,23,151,36,55,61,140,42,33,66,151,67,35,50,151,19,132
Agree with statement: Technology companies (e.g. Facebook and Google) should do more to make it easier to separate what is real and what is fake on the internet,Neither agree nor disagree,553,275,278,553,78,138,109,76,84,68,553,43,56,66,39,39,32,35,82,44,38,44,36,553,13,1,15,3,63,10,6,1,2,50,17,,8,22,12,5,10,10,6,3,8,8,16,8,5,8,7,,7,7,15,6,40,15,,13,5,6,22,5,7,,8,42,6,,11,8,3,7,2,553,107,101,204,140,553,33,18,30,32,32,28,27,24,20,25,28,10,26,29,20,44,15,31,82,553,102,163,289,464,118,153,194,553,121,102,330,553,49,504
